document_id	class	status	authority	default_onboarding	path	purpose
start-here	routing	current	canonical	yes	START_HERE.md	repository initialization order
agent-contract	constitution	current	canonical	yes	AGENTS.md	platform-neutral project agent contract
current-brief	current	current	canonical	yes	docs/current/BRIEF.md	compact current project boundary
active-task	current	current	canonical	yes	docs/current/ACTIVE_TASK.md	current bounded task and required reading
semantic-state	current	current	canonical	no	docs/current/STATE.yaml	machine-readable current state
pending-artifacts	current	current	canonical	no	docs/current/PENDING_ARTIFACTS.yaml	external input boundary
documentation-model	governance	current	canonical	no	docs/DOCUMENTATION_MODEL.md	document authority lifecycle and context budget
document-index	routing	current	canonical	no	docs/INDEX.md	question-oriented document router
constitution-index	constitution	current	canonical	no	docs/constitution/README.md	project identity and invariant router
constitution-project	constitution	current	canonical	no	docs/constitution/PROJECT.md	project identity boundary quality goals and non-goals
constitution-principles	constitution	current	canonical	no	docs/constitution/PRINCIPLES.md	engineering evidence promotion and assurance invariants
project-context	constitution	historical	history	no	docs/PROJECT_CONTEXT.md	historical motivation and project evolution provenance
project-principles	constitution	historical	history	no	docs/PROJECT_PRINCIPLES.md	earlier evidence doctrine provenance
foundation-index	history	historical	history	no	docs/system-foundation/README.md	system-foundation design and decision provenance index
architecture-index	architecture	current	canonical	no	docs/architecture/README.md	current architecture router
system-architecture	architecture	current	canonical	no	docs/architecture.md	integrated system model
glibc-architecture	architecture	current	canonical	no	docs/glibc-layer.md	glibc application-world contract
graphics-architecture	architecture	current	canonical	no	docs/gpu.md	graphics composition contract
desktop-session	architecture	current	canonical	no	docs/desktop-session.md	Termux X11 session contract
operations-index	operations	current	canonical	no	docs/operations/README.md	collaboration tooling and platform router
chatgpt-web-profile	operations	current	operational	no	docs/operations/platforms/chatgpt-web.md	web-chat transport and tool constraints
chatgpt-web-limitations	operations	current	operational	no	docs/operations/platforms/chatgpt-web-limitations.tsv	machine-readable web-chat limitation and fallback registry
operations-collaboration	operations	current	canonical	no	docs/operations/COLLABORATION.md	user agent roles repository transport and artifact exchange
operations-workflow	operations	current	canonical	no	docs/operations/WORKFLOW.md	bundle-native receive-to-accepted-transition workflow
operations-execution	operations	current	canonical	no	docs/operations/EXECUTION.md	candidate wrapper test result and acceptance discipline
operations-test-authority	operations	current	canonical	no	docs/operations/TEST_AUTHORITY.md	current test ownership and historical stage smoke lifecycle
operations-checkpoints	operations	current	canonical	no	docs/operations/CHECKPOINTS.md	clean boundary and optional non-authoritative checkpoint contract
operations-troubleshooting	operations	current	operational	no	docs/operations/TROUBLESHOOTING.md	proven operational failure mitigations
session-operations-history	history	historical	history	no	docs/history/session-operations-v1/README.md	former session-operations lifecycle and changelog
decision-index	decisions	current	canonical	no	docs/decisions/README.md	decision lifecycle index
adr-0001	decisions	accepted	canonical	no	docs/decisions/0001-no-proot-runtime.md	PRoot runtime boundary
